File,Original Size,Optimized Size,Savings,Reduction %,Original Dimensions,Status
villas\emerald-01\DSC04151WEB.jpg,252.93 KB,40.50 KB,212.43 KB,84.0%,900x600,✅ Success
villas\emerald-01\DSC04104WEB.jpg,397.82 KB,73.00 KB,324.82 KB,81.7%,1200x800,✅ Success
villas\emerald-01\DSC03984WEB.jpg,375.62 KB,67.70 KB,307.92 KB,82.0%,1125x750,✅ Success
villas\emerald-02\hero.jpg,440.34 KB,116.15 KB,324.20 KB,73.6%,900x600,✅ Success
villas\emerald-02\DSC04923WEB.jpg,440.34 KB,116.15 KB,324.20 KB,73.6%,900x600,✅ Success
villas\emerald-02\DSC04778WEB.jpg,234.58 KB,30.79 KB,203.79 KB,86.9%,600x900,✅ Success
villas\emerald-02\DSC04602WEB.jpg,414.42 KB,82.78 KB,331.64 KB,80.0%,1080x720,✅ Success
villas\emerald-02\DSC04566WEB.jpg,422.45 KB,93.67 KB,328.78 KB,77.8%,1080x720,✅ Success
villas\emerald-02\DSC04515WEB.jpg,554.17 KB,105.02 KB,449.15 KB,81.0%,1125x750,✅ Success
villas\emerald-02\DSC04511WEB.jpg,525.72 KB,105.44 KB,420.29 KB,79.9%,1125x750,✅ Success
villas\emerald-02\DSC04507WEB.jpg,314.40 KB,57.63 KB,256.78 KB,81.7%,900x600,✅ Success
villas\jacaranda\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\jacaranda\jalan-kb-(1)web.jpg,561.07 KB,170.37 KB,390.71 KB,69.6%,900x600,✅ Success
villas\jacaranda\AWB_4631.WEB.jpg,433.79 KB,41.90 KB,391.89 KB,90.3%,1028x684,✅ Success
villas\jacaranda\AWB_4623WEB.jpg,384.20 KB,41.91 KB,342.29 KB,89.1%,929x618,✅ Success
villas\jacaranda\AWB_4608WEB.jpg,439.74 KB,52.31 KB,387.43 KB,88.1%,968x644,✅ Success
villas\jacaranda\AWB_4597WEB.jpg,315.51 KB,26.80 KB,288.71 KB,91.5%,872x580,✅ Success
villas\jacaranda\AWB_4595WEB.jpg,458.20 KB,58.92 KB,399.29 KB,87.1%,968x644,✅ Success
villas\camelia\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\camelia\KBWEB.jpg,498.53 KB,116.53 KB,382.00 KB,76.6%,715x472,✅ Success
villas\camelia\KB---View-2.WEB.jpg,496.53 KB,251.77 KB,244.75 KB,49.3%,1257x706,✅ Success
villas\camelia\CAMELIAWEB.jpg,118.19 KB,38.20 KB,79.99 KB,67.7%,905x598,✅ Success
villas\camelia\CAMELIAaWEB.jpg,95.91 KB,33.37 KB,62.54 KB,65.2%,904x507,✅ Success
villas\camelia\CAMELIAaaWEB.jpg,104.30 KB,34.54 KB,69.76 KB,66.9%,902x507,✅ Success
villas\camelia\AWB_4631WEB.jpg,485.00 KB,46.45 KB,438.55 KB,90.4%,1089x725,✅ Success
